Year,Time,Bib,Name,Country,Gender,Club
2015,69:14,B179,Dominique LE GARGASSON,FR,,Bondoufle Amical Club
2015,69:17,X238,Jean-Yves BARBIN,FR,,Entente Sportive Segréenne - Segré
2015,69:17,X227,Marc DONZEL,FR,,Membre Individuel 73 FFCT
2015,69:17,B066,Klaus LENKEWITZ,DE,,ARA SCHLESWIG HOLSTEIN
2015,69:17,B113,Erwan LÉON,FR,,Cyclos Plouagat
2015,69:17,X222,Philippe MARGUET,FR,,Cyclo Club Chalonnais
2015,69:19,D087,Stuart BIRNIE,GB,,WILLESDEN CC
2015,69:19,E191,Stéphane LECLÈRE,FR,,Membre Individuel 50 FFCT
2015,69:20,R305,Daniel LE BOUGEANT,FR,,Ass Cyclos de Ploubezre
2015,69:21,E116,Rémi PERCHERON,FR,,AS Ballainvilliers
2015,69:22,K324,Daniel JOUVENOZ,FR,,Cyclo Club de la Mandallaz - Sillingy
2015,69:22,E058,Riccardo PERLOTTI,IT,,TEAM TESTA TIPOLITOGRAFIA
2015,69:25,F011,Peter HEAL,AU,,A.A. AUST.CAPIT.TERRITORY
2015,69:26,P297,Éric PERCHERON,FR,,Groupe Cyclo Reims Bézannes
2015,69:27,Z151,Joseph MALARD,FR,,Amicale Cyclo Le Poiré-sur-Vie
2015,69:28,D029,Peter SCHMID,CH,,INDIVIDUEL
2015,69:29,D244,Bernard ALLENO,FR,,Cyclos du Pays de Quintin
2015,69:32,A028,Yohan DESTREBECQ,BE,,LA ROUE BASECLOISE
2015,69:33,C119,Marc DELAGE,FR,,Membre Individuel 13 FFCT
2015,69:33,C166,Francis DESMOULINS,FR,,ASPTT Limoges
2015,69:33,D151,Lionel RENAUD,FR,,CT Ville de Sceaux
2015,69:34,D197,Alain CARIO,FR,,Rand. Cyclos de l'Anjou - Angers
2015,69:34,A041,Felipe Alberto NÓVOA CONDE,ES,,CC RIAZOR
2015,69:34,H284,Piergiorgio SBRISSA,IT,,Audax Club Parisien
2015,69:35,X244,Nicolas CAPRON,FR,,Membre Individuel 59 FFCT
2015,69:36,E102,Andrea DANNA,IT,,BRIKE BIKE
2015,69:36,E076,Gianluca GALLEGATI,IT,,AVIS
2015,69:36,E036,Branson KIMBALL,US,,CAROLINA TARWHEELS
2015,69:36,E060,Massimo PERASSI,IT,,EQUIPE CORBETTESE
2015,69:38,S298,Antonio CAMPELO CASEIRO,FR,,ACS Peugeot Mulhouse
2015,69:38,A045,Maurizio ROMAN,IT,,BICITALY
2015,69:39,A140,Claude BOEDEC,FR,,Cyclos Cité des Etangs - Rosporden
2015,69:40,C193,Didier GAUTIER,FR,,Club Cyclo La Richardais
2015,69:40,D067,Raffaele PAONE,IT,,ARA BREISGAU
2015,69:41,A217,Nathalie LEGRAND,FR,F,Amicale Cycliste du Coglais Nord
2015,69:41,X102,Hans UITTENBOOGAARD,NL,,TCZ '80
2015,69:41,A218,Jean-Charles VIEL,FR,,Amicale Cycliste du Coglais Nord
2015,69:42,D061,Loredano COMASTRI,IT,,PARCO DEI CILIEGI
2015,69:42,D083,Giovanni NANNI,IT,,BICICLUB MONTE SAN PIETRO
2015,69:44,B053,Periklis MITRONATSIOS,GR,,P.O. KARDITSAS
2015,69:46,G253,Eero LIIMATAINEN,FI,,INDIVIDUEL
2015,69:46,C184,Olivier MALLET,FR,,AC Banlieue Ouest - Neuilly sur Seine
2015,69:46,C118,Bruno NÉNAN,FR,,AC Banlieue Ouest - Neuilly sur Seine
2015,69:46,C136,Sina WITTE,DE,F,AC Banlieue Ouest - Neuilly sur Seine
2015,69:47,Z197,Andreas FIEBRICH,DE,,ARA BREISGAU
2015,69:47,Z021,Bernd RÜCKER,DE,,ARA NORDBAYERN FRANKISCHE ALB
2015,69:47,P304,Bruno SENANT,FR,,Groupe Cyclo Kerhuon
2015,69:48,X257,Bernard ENJALBERT,FR,,Union Vélocipédique Mazamétaine
2015,69:48,P303,Marcel LE ROY,FR,,Groupe Cyclo Kerhuon
2015,69:50,E103,Matteo ARZANI,IT,,RANDONNEUR PAVIA
2015,69:50,E092,Matteo ORSI,IT,,RANDONNEUR PAVIA
2015,69:51,E035,Ryan HAMILTON,US,,SEATTLE INTERNATIONAL RANDONNEURS
2015,69:51,A069,Noel MOLONEY,IE,,AUDAX IRLANDE CC
2015,69:51,Y186,Alain SÉVERIN,FR,,Vélo Loisir Mont près Chambord
2015,69:52,H260,Tamás JAGASITS,HU,,INDIVIDUEL
2015,69:52,H261,Bela KUZLER,HU,,RANDONNEURS HONGRIE
2015,69:52,X195,Yvon LE COARER,FR,,Madeleine Sport Détente Chartres
2015,69:52,T209,Christian LE QUITTE,FR,,Amicale Cyclo Loudéac
2015,69:52,A025,Peter SIX,AT,,AUDAX RANDONNEURS AUSTRIA
2015,69:55,Y130,Mino REPOSSINI,IT,,SC BUSTO GAROLFO
2015,69:57,C090,Sven RIEDEL,DE,,ARA BRANDENBURG BERLIN
2015,70:00,Z029,Renzo MASIERO,IT,,RANDONNEUR VENEZIA
2015,70:00,A115,Marcello SARRA,IT,,CICLISTICA SANSEPOLCRO
2015,70:02,B101,Nick ALLEN,GB,,SOUTH WESTERN RC
2015,70:02,B102,Angelo BRESSAN,IT,,EUROVELO CICLI
2015,70:02,C101,Alain COLLONGUES,FR,,ASPTT Paris
2015,70:02,B082,Peter SIMON,GB,,BYNEA CC
2015,70:04,E044,Gennadii BONDARENKO,RU,,VELO CLUB VELOPERM (PERM)
2015,70:04,B117,Yves LUNET,FR,,Association Cyclisme Clapiers
2015,70:05,C172,Philippe MERLIN,FR,,Membre Individuel 35 FFCT
2015,70:07,G067,Chris ASHER,GB,,VC 167
2015,70:07,Y128,Roy COOK,GB,,AUDAX UK
2015,70:07,G183,Henrik GUSTAFSSON,SE,,CK HYMER
2015,70:08,A060,Simon KRAŠNA,SI,,RANDONNEURS SLOVENIA
